epoch,tau,curriculum_phase,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,layer_output_credit,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,usage_credit_observations,action_L0_0_1_diff_present,action_L0_0_1_diff_choice_mass,action_L0_0_1_diff_recovery,action_L0_0_1_diff_active,action_L0_0_1_diff_tape,action_L0_2_3_diff_present,action_L0_2_3_diff_choice_mass,action_L0_2_3_diff_recovery,action_L0_2_3_diff_active,action_L0_2_3_diff_tape,action_L1_1_3_product_present,action_L1_1_3_product_choice_mass,action_L1_1_3_product_recovery,action_L1_1_3_product_active,action_L1_1_3_product_tape,layer_listen_score,layer_action_similarity,semantic_grid_mismatch,semantic_neighbor_entropy,scanner_full_scan,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,global_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,slot_alive_mean,slot_alive_count,split_none_mass,split_one_mass,split_two_mass,child_gate_mean,merge_gate_mean,collector_mass_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,signal_layer_listen_score,signal_slot_alive_mean,signal_split_two_mass,signal_merge_gate_mean,signal_layer_action_similarity,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_dependency_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_teacher_credit_items,credit_teacher_credit_staleness_mean,credit_teacher_credit_age_max,credit_audit_credit_items,credit_audit_credit_staleness_mean,credit_audit_credit_age_max,credit_deploy_credit_items,credit_deploy_credit_staleness_mean,credit_deploy_credit_age_max,honesty_score,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,branch_split_loss,branch_alive_loss,branch_child_loss,branch_merge_loss,branch_collector_loss,discovery_active_floor_loss,discovery_write_floor_loss,discovery_choice_exploration_loss,discovery_choice_coverage_loss,discovery_active_tail_loss,discovery_topology_consistency_loss,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_branch_split_loss,weighted_branch_alive_loss,weighted_branch_child_loss,weighted_branch_merge_loss,weighted_branch_collector_loss,weighted_min_transform_loss,weighted_discovery_active_floor_loss,weighted_discovery_write_floor_loss,weighted_discovery_choice_exploration_loss,weighted_discovery_choice_coverage_loss,weighted_discovery_active_tail_loss,weighted_discovery_topology_consistency_loss,loss_accounting_error
1,1.5,teacher,0.7027403235435485,0.49752604166666664,0.4967447916666667,0.03515625,0.03515625,0.0537109375,1.0,0.03279347034792105,0.03279347034792105,0.09454207122325897,0.6466961205005646,0.24232210218906403,0.1109817586839199,2.124600410461426,3.0,0.0,0.3621789254248142,0.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4330306053161621,0.989544153213501,3.218717336654663,491520.0,1.0,0.0375724658370018,0.03125,0.13240623474121094,0.04792635887861252,1.0,0.046671003103256226,0.07421875,0.019444629549980164,0.005568102467805147,1.0,0.014136942103505135,0.0,0.13177534937858582,0.04587174952030182,0.720994770526886,0.3222484588623047,0.42236328125,3.186797857284546,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8798277080059052,0.5382661819458008,0.01121975900605321,0.029415849596261978,0.10772648453712463,0.47964413464069366,1.771484375,0.3254474699497223,0.3153052031993866,0.3592473268508911,0.5105108022689819,0.5003154277801514,0.25993987917900085,0.019363852217793465,0.026966052129864693,0.020166410133242607,0.02711237408220768,0.018734456971287727,0.025786615908145905,0.0,0.0,0.0,0.0,0.35693297907710075,0.06640453981235624,0.021380456971625487,1.0624726424614588,0.6693522135416666,0.4780517578125,0.3597706571221352,0.5030924479166666,0.3780560899525881,0.0,0.0,0.0,0.9290364583333334,2.5,0.6938249667485555,0.4967447916666667,1.0,0.006222069263458252,0.0027022957801818848,0.010630369186401367,0.02973157726228237,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4967447916666667,0.6944328467051188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02232057391045957,0.08201732536156972,0.00019878744842571905,0.0002921749667999999,0.0003087274214218875,0.0,0.0,0.0,0.0,0.0,0.00117711273913604,0.00048492833360948376,0.0007884247854917703,4.390123720963796,0.04149338613109042,0.0018380751348255823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6944328467051188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023542255127229813,9.698566834117627e-05,1.576849519585958e-05,0.00371806089921544,0.004149338680629929,9.190375873610415e-05,3.2149610751375235e-09
2,1.5,teacher,0.6988450835148493,0.49811197916666666,0.4967447916666667,0.12760416666666666,0.12760416666666666,0.12581380208333334,1.0,0.041940394788980484,0.041940394788980484,0.16376201591144005,0.6988580226898193,0.2255176305770874,0.07562435418367386,2.2591670751571655,3.0,6.5,0.3003729358315468,0.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4283507466316223,0.9866509437561035,3.218794345855713,983040.0,1.0,0.05683549493551254,0.16015625,0.25999027490615845,0.10669033229351044,1.0,0.05870262533426285,0.22265625,0.008950688876211643,0.003046964295208454,1.0,0.010283064097166061,0.0,0.22234508395195007,0.08300356566905975,0.7850849628448486,0.3768174648284912,0.425506591796875,3.187103271484375,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8270254135131836,0.540622740983963,0.018500274047255516,0.04496453329920769,0.14398643374443054,0.48264317214488983,1.7265625,0.32044366002082825,0.31854547560214996,0.361010879278183,0.5100512504577637,0.49844276905059814,0.2593359351158142,0.07545997202396393,0.055419377982616425,0.07577946037054062,0.055601272732019424,0.07407835870981216,0.054852262139320374,0.0,0.0,0.0,0.0,0.3227615089466174,0.0378412960562855,0.013636401117158433,0.6054607341686885,0.7565836588541667,0.4799906412760417,0.3591821553806464,0.49936116536458336,0.33672520766655606,0.0,0.0,0.0,0.97841796875,2.5,0.6932380348443985,0.4954427083333333,1.0,0.001208662986755371,7.718801498413086e-05,0.004461884498596191,0.02989954873919487,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4954427083333333,0.6937671661376953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013013795002007101,0.08341371907542149,0.0,8.748208330130087e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0018056303626508452,0.0006827598634117748,0.0,4.304577950636546,0.008442725214020659,0.002130670038362344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6937671661376953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003611260771625287,0.00013655197462867364,0.0,0.0036294318328145892,0.0008442725365360577,0.0001065335040645247,1.4519476732033354e-09
3,1.5,teacher,0.6973224312067032,0.5064453125,0.5006510416666666,0.41796875,0.41796875,0.450927734375,1.0,0.07124176993966103,0.07124176993966103,0.21184420213103294,0.7111300826072693,0.22861645370721817,0.06025349721312523,2.5870078802108765,3.0,8.0,0.16398189961910248,0.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.42697954177856445,0.988373875617981,3.218738317489624,1474560.0,1.0,0.09889732301235199,0.5625,0.3963821530342102,0.16056150197982788,1.0,0.08690483123064041,0.69140625,0.00415458157658577,0.001402389956638217,1.0,0.027923155575990677,0.0,0.23499587178230286,0.09123611450195312,0.8543593883514404,0.4274565577507019,0.428436279296875,3.1874927282333374,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7936877012252808,0.5379451811313629,0.025429604575037956,0.05833503231406212,0.16668495535850525,0.4794299900531769,1.689453125,0.32233139872550964,0.320294588804245,0.357373982667923,0.5044219493865967,0.5019909292459488,0.25709277391433716,0.11272429674863815,0.07968280464410782,0.11635039746761322,0.08128991723060608,0.1129409596323967,0.08134476095438004,0.0,0.0,0.0,0.0,0.23069055018325646,0.05678535457700491,0.023073747490222254,0.9085656747221946,0.81781005859375,0.48024088541666665,0.3592694414158662,0.496240234375,0.3985178254544735,0.0,0.0,0.0,0.98958740234375,2.5,0.6932058533032736,0.5006510416666666,1.0,0.0018007755279541016,0.0005793571472167969,0.0037589073181152344,0.02242623083293438,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5006510416666666,0.6931853294372559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008300482619233662,0.07954431132723888,0.0,7.192975620758564e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000573860509515119,7.745190543465194e-05,0.0,3.9924552897612253,0.00450077640125528,0.004137368139345199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931853294372559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011477210415857068,1.54903813459469e-05,0.0,0.003349888576970746,0.0004500776461403196,0.0002068684107750111,4.650056784072376e-09
4,1.5,teacher,0.6560302302241325,0.6060546875,0.6731770833333334,0.9817708333333334,0.9817708333333334,0.9169108072916666,1.0,0.8028200467427572,0.8028200467427572,0.3263948874858518,0.7135115563869476,0.2157846912741661,0.07070377469062805,1.3971084356307983,3.5,16.0,0.6348976194858551,0.875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4371277093887329,0.977881908416748,3.217510223388672,1966080.0,1.0,0.8835030794143677,0.98046875,0.6465335488319397,0.3397065997123718,1.0,0.6063010096549988,0.96484375,0.001312111970037222,0.0005043433047831059,1.0,0.918656051158905,1.0,0.3313390016555786,0.06294732540845871,0.9766644239425659,0.04193469509482384,0.430328369140625,3.1894371509552,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6790391504764557,0.49633222818374634,0.0354112247005105,0.0708455741405487,0.18735310435295105,0.48356015980243683,1.798828125,0.3170950412750244,0.32037578523159027,0.3625291734933853,0.5074880719184875,0.4953082650899887,0.25304198265075684,0.18121829628944397,0.12193808704614639,0.1905289590358734,0.1252060979604721,0.19019345939159393,0.1259305775165558,0.0,0.0,0.0,0.0,0.4226549951980511,0.0632231326152881,0.024969566535825532,1.011570119857788,0.92957763671875,0.47929484049479165,0.3590377854804198,0.49312947591145834,0.24329602437404294,0.0,0.0,0.0,0.9970784505208333,2.5,0.6022622287273407,0.6731770833333334,1.0,0.013644158840179443,0.005273640155792236,0.028935611248016357,0.04752217233181,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6731770833333334,0.6533985157807668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03473296632861699,0.08117385463168224,0.0,0.00020672515938713332,0.0,0.0,0.0,0.0,0.0,0.0,0.0006241167997359298,0.00017699557618774028,0.0018698106318576417,4.282839542627334,0.0028229507928093276,0.004985495214350521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6533985157807668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012482336211784665,3.539911581356137e-05,3.739621154466022e-05,0.0019025303042932743,0.0002822950852229648,0.0002492747652771262,4.4009036415104674e-09
5,1.5,teacher,0.535954603056113,0.7292317708333333,0.7275390625,1.0,1.0,0.9794108072916666,1.0,0.9345945914586385,0.9345945914586385,0.5465130099222127,0.6952046155929565,0.09251250512897968,0.21228285878896713,0.8985193967819214,3.5,16.0,0.7919427156448364,0.875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.44546255469322205,0.9788281321525574,3.215580940246582,2457600.0,1.0,0.9974868893623352,1.0,0.9231598377227783,0.5076074600219727,1.0,0.8088502287864685,1.0,1.6953244994510897e-06,1.0030200883193174e-06,1.0,0.9974466562271118,1.0,0.7163774967193604,0.6097947359085083,0.9934184551239014,0.04516783356666565,0.425750732421875,3.191032648086548,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8996941149234772,0.5895296931266785,0.05319230072200298,0.0786779560148716,0.2525916323065758,0.4876066893339157,1.833984375,0.32188960909843445,0.31985361874103546,0.3582567870616913,0.5080079138278961,0.48766499757766724,0.2504189759492874,0.44329991936683655,0.18400152027606964,0.4167672097682953,0.18467283248901367,0.41294267773628235,0.1845378279685974,0.0,0.0,0.0,0.0,0.707234437763691,0.088148175055782,0.05371220828965306,1.4103708028793336,0.9906697591145833,0.48310546875,0.3571790923674901,0.49123942057291664,0.06671791058033705,0.0,0.0,0.0,0.998974609375,2.5,0.5366193950176239,0.7275390625,1.0,0.003186434507369995,0.0013799965381622314,0.037016093730926514,0.04686712473630905,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7275390625,0.5351382762193679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07683214655456444,0.07773027202735344,0.0,0.001608997474249918,0.0,0.0,0.0,0.0,0.0,0.0,0.00011764549842000113,2.041285672188901e-05,0.001611181759882226,5.808607991536459,0.003546766290673986,0.00656975582242012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5351382762193679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.352910001746089e-05,4.082571406331207e-06,3.222363458178397e-05,7.332850486226523e-05,0.00035467663534897537,0.0003284877954380742,1.4049098551183192e-09
6,1.5,teacher,0.5168227652708689,0.7434244791666667,0.7473958333333334,0.9973958333333334,0.9973958333333334,0.835693359375,1.0,0.9046314160029093,0.9046314160029093,0.5134458460821444,0.7309671938419342,0.0918445996940136,0.1771882176399231,1.3785402178764343,3.0,15.5,0.6029744148254395,0.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4447174072265625,0.9786900281906128,3.2170491218566895,2949120.0,1.0,0.9972803592681885,1.0,0.9504861831665039,0.5187534689903259,1.0,0.719915509223938,0.9921875,5.121272010910616e-07,2.3314285613196262e-07,1.0,0.9966983795166016,1.0,0.5898508429527283,0.5308810472488403,0.9969245195388794,0.1253211349248886,0.41168212890625,3.191097617149353,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8267376124858856,0.5734617412090302,0.046242011711001396,0.07010460458695889,0.24503062665462494,0.4914451390504837,1.90234375,0.3248617649078369,0.3163542002439499,0.3587840497493744,0.5047501921653748,0.47138315439224243,0.2391688972711563,0.526999831199646,0.20019227266311646,0.4749080538749695,0.19608888030052185,0.46973752975463867,0.19424113631248474,0.0,0.0,0.0,0.0,0.6262460346023242,0.08400798104703426,0.05102579972396294,1.3441277066866557,0.9946736653645833,0.48528849283854164,0.3564502897361914,0.48229777018229164,0.12011100463569165,0.0,0.0,0.0,0.9990234375,2.5,0.507235529522101,0.7473958333333334,1.0,0.0038256049156188965,0.0013338923454284668,0.04064518213272095,0.04051347076892853,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7473958333333334,0.5162379309535027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04322034815947215,0.06283262533446153,0.0,0.0013086730192299,0.0,0.0,0.0,0.0,0.0,0.0,6.853204007340648e-05,3.0493832264847735e-05,0.0004466136906447963,5.830827355384827,0.0018927927769254893,0.0054212499409914015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5162379309535027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3706408210467647e-05,6.098766532227258e-06,8.932273827409974e-06,9.575285456893863e-05,0.0001892792811607554,0.00027106250163342336,2.2314330383466086e-09
7,1.5,teacher,0.5129528308908144,0.74453125,0.7473958333333334,0.9309895833333334,0.9309895833333334,0.689453125,1.0,0.8630707065264384,0.8630707065264384,0.5052198580810151,0.7434675991535187,0.10418183356523514,0.152350552380085,1.4034058451652527,3.0,15.0,0.5722489356994629,0.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.44492605328559875,0.9783163070678711,3.216841697692871,3440640.0,1.0,0.9947617053985596,1.0,0.9555065631866455,0.5181288719177246,1.0,0.5979429483413696,0.79296875,2.0301069980632747e-06,6.029399060025753e-07,1.0,0.996507465839386,1.0,0.5601509809494019,0.5065523386001587,0.9977960586547852,0.13482658565044403,0.411590576171875,3.1911706924438477,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6947141587734222,0.5579272508621216,0.042534634470939636,0.0657377541065216,0.24155499786138535,0.4906524270772934,1.82421875,0.326540544629097,0.3089245408773422,0.3645348846912384,0.5110313892364502,0.4710720330476761,0.23516230285167694,0.5768107175827026,0.21019041538238525,0.4904786944389343,0.20076173543930054,0.4895269274711609,0.19853881001472473,0.0,0.0,0.0,0.0,0.6068403224150339,0.07057883360733588,0.04478904505570729,1.1292613287766775,0.997314453125,0.4871439615885417,0.3571539801855882,0.4732177734375,0.11030360801766316,0.0,0.0,0.0,0.9990234375,2.5,0.5136688152949015,0.736328125,1.0,0.0018877387046813965,0.00022798776626586914,0.02310866117477417,0.04109789431095123,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736328125,0.5124163466195265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02927152282403161,0.05389672241484125,0.0,0.0009221451769311291,0.0,0.0,0.0,0.0,0.0,0.0,0.00048823258075572087,0.0001922136744421247,0.0,5.788436869780223,0.0015101988276001066,0.004234938936618467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5124163466195265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.764651825510858e-05,3.8442735482628145e-05,0.0,3.7627398791129084e-05,0.00015101988562188733,0.00021174694932900214,7.838081295119537e-10
8,1.5,teacher,0.5024227552115917,0.75078125,0.7473958333333334,0.91015625,0.91015625,0.638427734375,1.0,0.8600564002990723,0.8600564002990723,0.4972035119255054,0.7392042279243469,0.11228510737419128,0.1485106498003006,1.4703519344329834,2.5,13.5,0.535680890083313,0.625,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4448449909687042,0.9765954613685608,3.2171854972839355,3932160.0,1.0,0.986088752746582,1.0,0.9667655229568481,0.5404201745986938,1.0,0.5989649295806885,0.73046875,2.471565210271365e-07,1.1327963989060663e-07,1.0,0.9951155185699463,1.0,0.524844765663147,0.47788485884666443,0.9980122447013855,0.14525912702083588,0.4232177734375,3.19124698638916,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6715702414512634,0.5459514260292053,0.04079635255038738,0.062447188422083855,0.23427553474903107,0.485358789563179,1.791015625,0.32467587292194366,0.32565662264823914,0.3496675193309784,0.5116731524467468,0.4643400013446808,0.23336519300937653,0.614504873752594,0.21873144805431366,0.5082366466522217,0.20463180541992188,0.509061336517334,0.20293478667736053,0.0,0.0,0.0,0.0,0.5256991455952327,0.06412382517009974,0.04017866685365637,1.0259812091787657,0.9980509440104167,0.48752034505208336,0.35691852097709975,0.46934611002604165,0.1525225060681502,0.0,0.0,0.0,0.9990234375,2.5,0.5075881431500117,0.7457682291666666,1.0,-0.0022191405296325684,-0.0004971623420715332,0.037704646587371826,0.04181015491485596,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7457682291666666,0.5018523968756199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011409928897198067,0.038837004670252404,0.0,0.0007100699294824153,0.0,0.0,0.0,0.0,0.0,0.0,0.0008701823210382523,0.00038653310330118986,0.0,5.531383510430654,0.001172312408258828,0.0037303565458084147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5018523968756199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017403646706952712,7.730662179407469e-05,0.0,1.52680538223778e-05,0.00011723124346948073,0.0001865178295702208,1.879753797062733e-09
9,1.5,teacher,0.5076324289043744,0.7477213541666666,0.7503255208333334,0.921875,0.921875,0.622314453125,1.0,0.8413703044255575,0.8413703044255575,0.509886809924069,0.7438170909881592,0.11953422427177429,0.13664865493774414,1.5679823756217957,2.0,12.0,0.5004433393478394,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.44199973344802856,0.9739919900894165,3.217369556427002,4423680.0,1.0,0.9719051122665405,1.0,0.9735559821128845,0.538625955581665,1.0,0.5711319446563721,0.765625,7.412994591504685e-07,3.5386463537179225e-07,1.0,0.9810738563537598,1.0,0.5561037063598633,0.5050591826438904,0.9983681440353394,0.13229872286319733,0.425811767578125,3.190783143043518,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6601528823375702,0.54136523604393,0.04112616740167141,0.063300222158432,0.23552639037370682,0.48389971256256104,1.79296875,0.32861657440662384,0.31341269612312317,0.3579706847667694,0.5125940442085266,0.457330584526062,0.22719119489192963,0.6353091597557068,0.22346040606498718,0.5171812772750854,0.20821493864059448,0.5270888805389404,0.20843413472175598,0.0,0.0,0.0,0.0,0.5304878411193689,0.06608828101307154,0.04175195333858331,1.0574124932289124,0.9979939778645833,0.487841796875,0.3565117744108041,0.462188720703125,0.13605191142608722,0.0,0.0,0.0,0.9990234375,2.5,0.5034071132540703,0.7503255208333334,1.0,0.010975748300552368,0.002691507339477539,0.08359822630882263,0.04259774088859558,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7503255208333334,0.5071288265287877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019770607724785803,0.04141330557564894,0.0,0.0007582530413249818,0.0,0.0,0.0,0.0,0.0,0.0,0.0006601148120050008,0.0002718720828852383,0.0,5.359012520313263,0.0011045353050576523,0.0035935242602135988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5071288265287877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001320229649839651,5.43744174137828e-05,0.0,2.707617277229642e-05,0.00011045353191245037,0.0001796762158240502,9.27319776522495e-10
10,1.5,teacher,0.5078836652139823,0.7471354166666667,0.7600911458333334,0.9388020833333334,0.9388020833333334,0.627685546875,1.0,0.8302138646443685,0.8302138646443685,0.5251762916716226,0.7383644580841064,0.1273655891418457,0.13426995277404785,1.5316555500030518,3.0,12.0,0.5016072690486908,0.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4451228976249695,0.9734963178634644,3.21712064743042,4915200.0,1.0,0.9337389469146729,1.0,0.9734827280044556,0.5507493019104004,1.0,0.5595769882202148,0.81640625,6.109691526035022e-07,3.389878600046359e-07,1.0,0.9973256587982178,1.0,0.6020455360412598,0.5564771890640259,0.9981129169464111,0.2623329758644104,0.423126220703125,3.1917011737823486,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6321234107017517,0.534313976764679,0.041997773572802544,0.06271518021821976,0.234846793115139,0.4898223727941513,1.890625,0.3270953893661499,0.311808243393898,0.3610963374376297,0.5136140882968903,0.44760313630104065,0.2196490541100502,0.652199923992157,0.22845609486103058,0.5113139152526855,0.2086879163980484,0.531430184841156,0.2105308622121811,0.0,0.0,0.0,0.0,0.5122469238936901,0.0646382085668544,0.04084246108929316,1.034211338063081,0.9982218424479167,0.489605712890625,0.3571221955120564,0.45623982747395836,0.12312720020612081,0.0,0.0,0.0,0.9990234375,2.5,0.4926087334752083,0.7600911458333334,1.0,0.025303542613983154,0.00703120231628418,0.12436684966087341,0.04315279796719551,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7600911458333334,0.5073929133514563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015641689083228508,0.03973940334593256,0.0,0.0007074013774399646,0.0,0.0,0.0,0.0,0.0,0.0,0.0007039849399006926,0.0002863738352364938,0.0,5.258033418655396,0.0010632910115721947,0.003361952209767575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5073929133514563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014079698976274813,5.7274768005299846e-05,0.0,1.8253709762827697e-05,0.00010632910289132269,0.00016809761327749584,3.2117364323624997e-10
