epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_diff_present,action_L0_0_1_diff_choice_mass,action_L0_0_1_diff_recovery,action_L0_0_1_diff_active,action_L0_0_1_diff_tape,action_L0_2_3_diff_present,action_L0_2_3_diff_choice_mass,action_L0_2_3_diff_recovery,action_L0_2_3_diff_active,action_L0_2_3_diff_tape,action_L1_1_3_product_present,action_L1_1_3_product_choice_mass,action_L1_1_3_product_recovery,action_L1_1_3_product_active,action_L1_1_3_product_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,1.7899813294410705,0.500625,0.496484375,0.9986979166666666,0.9986979166666666,0.503662109375,1.0,0.982295036315918,0.4454260269800822,0.27483779937028885,0.4384969025850296,0.28666530549526215,1.3438865542411804,15.5,8.5,0.37808283418416977,3.875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4558905065059662,0.9831225872039795,2.3955180644989014,1.0,0.9731407165527344,1.0,0.4220498204231262,0.06575191020965576,1.0,0.9836469888687134,1.0,0.4059067368507385,0.05730725824832916,1.0,0.9900974035263062,0.99609375,0.5083215236663818,0.07448309659957886,0.417144775390625,0.5704589188098907,0.15088684856891632,0.2511827051639557,0.027471505105495453,0.9999999776482582,0.8933643400669098,0.3759610205888748,0.024032428860664368,0.13947996497154236,0.43623486161231995,0.028528667986392975,0.01721595600247383,0.028646104037761688,0.01725962571799755,0.028875546529889107,0.017325224354863167,-0.026247886940836906,0.003764461725950241,0.8709727397561073,1.0,0.6206165911257266,0.2160022336244583,0.049055656529963014,3.456035726070404,0.9210266116447747,0.8922135529108346,0.5674891118612141,1.1184600758552552,0.6976639270782471,0.496484375,1.0,-6.461143493652344e-05,0.0003362894058227539,0.0007238388061523438,0.03914551064372063,last,1.0,0.0,0.0,0.6975742721557617,0.06421026054769755,0.292264191955328,0.5977005635201931,1.1126580595970155,0.20274969682097435,0.046453717052936556,0.44184198319911955,0.10746965991333127,0.06636318223550916,0.028231402784585954,0.0024466983490856365,0.0,0.0,1.1184600758552552,0.6245494772307575,0.0892213566112332,0.0892213566112332,0.1021480438252911,0.1134978242102079,0.04539912800886668,0.14187227796530352,0.06809869200922548,0.0446106783056166,0.6975742721557617,0.006421026145108044,0.5667454680241645,0.05563290398567915,0.39776774114812724,0.02048850504506845,0.005021974767441861,0.01966632963507436,0.01059362936866819,0.006022129265693366,0.003897194718447281,0.00015016320908216584,0.0,0.0,8.027245756991874e-09
2,0.92,0.8676170206069946,0.491015625,0.511328125,1.0,1.0,0.27197265625,1.0,0.9971612493197123,0.5993518630663554,0.15149177983403206,0.5301261246204376,0.31838206946849823,1.3533086776733398,10.0,6.5,0.2762496769428253,2.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.45985087752342224,0.9812343120574951,2.6784281730651855,1.0,0.9962302446365356,1.0,0.553193211555481,0.046641163527965546,1.0,0.9970768094062805,1.0,0.5637996196746826,0.03311537951231003,1.0,0.9981766939163208,1.0,0.6810627579689026,0.09025053679943085,0.4266357421875,0.6514054536819458,0.14657451957464218,0.16625497117638588,0.03576505929231644,1.0000000037252903,0.8080445826053619,0.3064662367105484,0.013389594852924347,0.13034356385469437,0.3999940752983093,0.05214507505297661,0.032020412385463715,0.05289123207330704,0.032227665185928345,0.05313057452440262,0.0323193185031414,-0.04054846987128258,0.01228922139853239,0.9799374842643738,1.0,0.277480032145977,0.18548185378313065,0.017521235346794128,2.9677096581459046,0.9986673575639725,0.5815839156508446,0.579173999428749,1.001998963356018,0.6961889863014221,0.511328125,1.0,9.5367431640625e-05,-0.00036603212356567383,-0.00030601024627685547,0.021478986367583275,last,1.0,0.0,0.0,0.6977511405944824,0.03736973350867629,0.02537016237154603,0.18603795096278192,0.6580534309148789,0.15113251850008966,0.013338528918102383,0.18689523234963418,0.0005867839534721498,0.022557097692042588,0.01866135550662875,0.00022921624455193523,0.0,0.0,1.001998963356018,0.4071087345480919,0.05815839253365993,0.05815839253365993,0.10425132416188716,0.11583480142056941,0.046333919130265716,0.14479349985718726,0.06950087830424309,0.029079196266829966,0.6977511405944824,0.0037369734165258704,0.025423222417011858,0.0329026722535491,0.07772648122161627,0.015758902486413717,0.0015465608006343245,0.008666105750016868,4.309442537191899e-05,0.001343727466883138,0.0027021771273575725,1.596061476448085e-05,0.0,0.0,2.032367163451454e-09
3,0.8464,0.7936802166700363,0.51015625,0.511328125,1.0,1.0,0.19075520833333334,1.0,0.9982242782910665,0.6941068569819132,0.10050389915704727,0.5836299657821655,0.3158661127090454,1.2275009155273438,8.5,2.5,0.2685530185699463,2.125,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4616020917892456,0.9807155728340149,2.7005884647369385,1.0,0.997804582118988,1.0,0.6600398421287537,0.03456952050328255,1.0,0.9982950687408447,1.0,0.6720567941665649,0.018489763140678406,1.0,0.9985731840133667,1.0,0.7502239346504211,0.07264639437198639,0.439422607421875,0.6612214595079422,0.14027047157287598,0.16187645494937897,0.03663161862641573,1.0000000046566129,0.7645049691200256,0.26983531564474106,0.008119051810353994,0.12965185195207596,0.3860231637954712,0.07229991257190704,0.045050982385873795,0.07477553188800812,0.045674845576286316,0.07399013638496399,0.045360177755355835,-0.04717928171157837,0.019170476123690605,0.9914299947023392,1.0,0.2504255132377148,0.1824089202284813,0.010100367264822125,2.918542721271515,0.9988504773378373,0.500730085670948,0.5752891033887864,1.0017242789268495,0.6919495761394501,0.509765625,1.0,0.00029790401458740234,1.0311603546142578e-05,0.0004955530166625977,0.02407490834593773,last,1.0,0.0,0.0,0.693991641998291,0.02334399877116084,0.010898462517652661,0.11509182870388031,0.44257151454687116,0.13551692500710488,0.006476022880524397,0.11028280764818192,0.0,0.021193097978830337,0.02052568493410945,4.6522509665010146e-05,0.0,2.958148717880249e-05,1.0017242789268495,0.3505110538005829,0.050073009580373765,0.050073009580373765,0.1035520426928997,0.11505782216787339,0.046023127399384973,0.1438222758471966,0.06903469115495682,0.025036504790186882,0.693991641998291,0.0023343999311327933,0.010917530972510575,0.0221285760961473,0.04043387677520514,0.014034337429329753,0.000745422836043872,0.005076928474009037,0.0,0.001061918135965243,0.002952076154761016,3.2148082675576007e-06,0.0,2.9581487069663127e-07,2.7564976967653365e-09
4,0.778688,0.7712025982141495,0.5059375,0.51875,1.0,1.0,0.1875,1.0,0.9991872906684875,0.7634031573931376,0.0921759232878685,0.5989944338798523,0.3088296800851822,1.0943639278411865,7.5,2.5,0.28739631175994873,1.875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.462604284286499,0.9788932800292969,2.61820650100708,1.0,0.999197244644165,1.0,0.7271384000778198,0.030415378510951996,1.0,0.9993084669113159,1.0,0.7529963850975037,0.013676912523806095,1.0,0.9990561604499817,1.0,0.8100746870040894,0.04813802242279053,0.458282470703125,0.6427923142910004,0.1683472879230976,0.1618022695183754,0.027058138512074947,1.0000000102445483,0.7245090901851654,0.2568773031234741,0.0059823449701070786,0.13626951724290848,0.3890938460826874,0.08923652768135071,0.056937821209430695,0.09333107620477676,0.05789404734969139,0.09208384901285172,0.05707115679979324,-0.05065136030316353,0.02515759877860546,0.9956191968917847,1.0,0.25704747304320336,0.18059648096561431,0.006710408893413841,2.8895436835289003,0.998909353017807,0.52134956240654,0.5729637396335602,1.001635969877243,0.6912071764469147,0.51875,1.0,-4.1604042053222656e-05,-0.00012445449829101562,-9.649991989135742e-05,0.029186606407165527,last,1.0,0.0,0.0,0.6926932525634766,0.01940834168344736,0.006163855462800711,0.08945058204233647,0.32337006807327273,0.12558009438216686,0.003879105472005904,0.0805343272536993,0.0,0.024791548773646355,0.02229649294167757,1.1112534193671309e-05,0.0,0.0015436516702175141,1.001635969877243,0.364944688975811,0.052134956903755664,0.052134956903755664,0.10313347712159157,0.11459274910390377,0.045837097875773905,0.14324093490839004,0.06875564716756344,0.026067478451877832,0.6926932525634766,0.0019408341974485666,0.00617411895073019,0.016168503733351828,0.03263300685212016,0.012951813731342554,0.00044452057598391546,0.0036914610536769032,0.0,0.0012949576874962078,0.0031939332257024944,7.640602817104991e-07,0.0,1.543651640929511e-05,4.933870867418477e-09
5,0.7163929600000001,0.7528456848859787,0.536640625,0.571875,1.0,1.0,0.18790690104166666,1.0,0.9992931286493937,0.8145741025606791,0.12592297047376633,0.567882627248764,0.30619440227746964,1.042410284280777,7.5,2.5,0.2854478657245636,1.875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4617502987384796,0.9795262217521667,2.6061153411865234,1.0,0.9995474815368652,1.0,0.7951477766036987,0.03407593071460724,1.0,0.999562680721283,1.0,0.8078970313072205,0.015380322933197021,1.0,0.998769223690033,1.0,0.8406774997711182,0.0910874605178833,0.447509765625,0.6414285600185394,0.17688883282244205,0.16137832403182983,0.020304271019995213,0.9999999878928065,0.683578372001648,0.2661772444844246,0.0073520285077393055,0.14386747404932976,0.3858872801065445,0.10666266828775406,0.06847423315048218,0.1132890060544014,0.06980855762958527,0.11038488894701004,0.06794720143079758,-0.05423644557595253,0.031858548521995544,0.9972284889221191,1.0,0.2706086096167564,0.176334890127182,0.005797962215729058,2.821358256340027,0.9989311158657074,0.5631547880172729,0.5674135577678681,1.001603331565857,0.6632057666778565,0.571875,1.0,0.0008736252784729004,0.000592648983001709,0.0014560818672180176,0.029454320669174194,last,1.0,0.0,0.0,0.6811100244522095,0.017662824485450982,0.0040660191385541115,0.08261417157948017,0.2510718171298504,0.11568447969853878,0.0031873023346997795,0.08179997615516185,0.0,0.026301841996610165,0.024152895212173463,8.053618644225936e-06,0.0,0.0002999255061149597,1.001603331565857,0.3942083442211151,0.05631547976285219,0.05631547976285219,0.10213444456458091,0.11348271295428276,0.04539308376610279,0.14185338944196701,0.06808962546288967,0.028157739881426096,0.6811100244522095,0.0017662824667058884,0.004072697444935329,0.012553591085597872,0.03253643305972218,0.01181619193404913,0.0003617233684053645,0.0037130870413966477,0.0,0.001485835510538891,0.003426270680502057,5.483926594251897e-07,0.0,2.9992550435054e-06,1.9421297903221557e-10
6,0.6590815232000001,0.679237020611763,0.66875,0.719140625,1.0,1.0,0.19189453125,1.0,0.9989567597707113,0.8726985057195028,0.20589922182261944,0.46441617608070374,0.3296845704317093,0.9226593375205994,6.5,2.5,0.2908523827791214,1.625,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4610200524330139,0.9817771911621094,2.471327781677246,1.0,0.9992146492004395,1.0,0.8732755184173584,0.03133269026875496,1.0,0.9991411566734314,1.0,0.8535258769989014,0.010828131809830666,1.0,0.9985144734382629,1.0,0.8912941217422485,0.4051218032836914,0.463348388671875,0.7168381810188293,0.0961960107088089,0.16841737553477287,0.018548442982137203,1.0000000102445483,0.6864816546440125,0.26018719375133514,0.017447227612137794,0.16840984672307968,0.4016638547182083,0.1313973069190979,0.0840366780757904,0.13993000984191895,0.08551494777202606,0.13482724130153656,0.08291086554527283,-0.06203226372599602,0.04184588044881821,0.9973675328493118,1.0,0.27706444323062895,0.18053127884864806,0.012783675659447909,2.888500475883484,0.998932985663414,0.5827577644586563,0.5728912425041198,1.0016005218029023,0.5535193085670471,0.719140625,1.0,-1.2636184692382812e-05,-0.0004761219024658203,-0.0007836222648620605,0.02943338267505169,last,1.0,0.0,0.0,0.6020681118965149,0.017964913100004195,0.006147439268097514,0.08765571400523185,0.17296438217163085,0.11420565024018288,0.003975409336853772,0.13130556337535382,0.0,0.031247060000896453,0.033180248122662306,0.00010444033650856,0.0,0.0,1.0016005218029023,0.40793042808771135,0.05827577754855156,0.05827577754855156,0.10312042787671089,0.11457825042307376,0.045831298343837264,0.14322281062602996,0.06874694719910622,0.02913788877427578,0.6020681118965149,0.0017964913370087743,0.006157541659631533,0.008648219238966703,0.03572819951921701,0.011777518438175321,0.0004555345672997646,0.006019798289053142,0.0,0.001824791522230953,0.004753620466217399,7.19545550168732e-06,0.0,0.0,1.7780541483602974e-09
1,1.0,1.789343500137329,0.500390625,0.500390625,1.0,1.0,0.5185546875,1.0,0.9847162961959839,0.4479845464229584,0.27381447702646255,0.43820609152317047,0.28797943890094757,1.3451249599456787,15.5,8.5,0.38058866560459137,3.875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4561687409877777,0.9831597208976746,2.38657546043396,1.0,0.9805526733398438,1.0,0.4242521822452545,0.06553930044174194,1.0,0.9803026914596558,1.0,0.41145050525665283,0.058293722569942474,1.0,0.9932935237884521,1.0,0.5082509517669678,0.07467791438102722,0.417083740234375,0.5584277510643005,0.15502965450286865,0.2585020437836647,0.02804054180160165,0.9999999911524355,0.892921507358551,0.3764703869819641,0.02405082993209362,0.1394588202238083,0.4362863451242447,0.028557147830724716,0.017246851697564125,0.028654877096414566,0.01730458252131939,0.028915826231241226,0.01736457087099552,-0.026300078257918358,0.0038042543455958366,0.8710905221104622,1.0,0.6202335293591023,0.2160506445169449,0.0490820075199008,3.4568103051185606,0.9210292849130929,0.8919109466858208,0.5675532822217793,1.118456073999405,0.6976018905639648,0.500390625,1.0,-8.803606033325195e-05,0.00017535686492919922,0.0003180503845214844,0.03934042900800705,last,1.0,0.0,0.0,0.6976437187194824,0.06417272657155991,0.2919567289017141,0.59742537394166,1.1105112546682359,0.2027218970656395,0.04645960317924619,0.4415594059228897,0.10739007785916328,0.06643397603183984,0.028263740800321104,0.0024485532732796854,0.0,0.0,1.118456073999405,0.6243376530520618,0.08919109570560976,0.08919109570560976,0.10215959460940212,0.11351065820781514,0.04540426153340377,0.1418883205554448,0.06810639225877821,0.04459554785280488,0.6976437187194824,0.006417272766120732,0.5664370486326515,0.05552556373178959,0.3974909268959891,0.020487399118137545,0.0050229398504598064,0.01965435566729866,0.010584747420653002,0.006026994380736141,0.0039022371223836672,0.00015029918814434494,0.0,0.0,3.3565175083793974e-09
2,0.92,0.8651653361320496,0.491484375,0.514453125,1.0,1.0,0.27392578125,1.0,0.9971810976664225,0.6025423010190328,0.1500195562839508,0.5306980162858963,0.3192824199795723,1.4084964990615845,10.0,7.0,0.26893162727355957,2.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4593871235847473,0.9829224944114685,2.7353897094726562,1.0,0.9959428310394287,1.0,0.5579196810722351,0.04635526239871979,1.0,0.9971973896026611,1.0,0.5688703656196594,0.033025335520505905,1.0,0.9984030723571777,1.0,0.6808368563652039,0.0878836065530777,0.4268798828125,0.6360580921173096,0.16142572462558746,0.1669653356075287,0.03555083880200982,0.9999999911524355,0.8070634007453918,0.30727043747901917,0.013256230857223272,0.13042856007814407,0.400743693113327,0.05189566686749458,0.031944770365953445,0.05261644721031189,0.03209792450070381,0.05290199816226959,0.032208893448114395,-0.04041226580739021,0.012286992743611336,0.9801992589235305,1.0,0.2718722289800644,0.18589973241090774,0.01747001907788217,2.9743957257270814,0.9986721217632294,0.5646392548084259,0.579719164967537,1.0019918131828307,0.6960425436496734,0.514453125,1.0,8.577108383178711e-05,-0.0006014704704284668,-0.0004780292510986328,0.0218366552144289,last,1.0,0.0,0.0,0.6976631355285644,0.037432446461170915,0.024556601177901028,0.18817603066563607,0.6531289064884186,0.15134552553296088,0.013312128717079758,0.18586124822497369,0.0005610429985225096,0.022289203368127345,0.018813004679977895,0.00022784661043260713,0.0,0.0,1.0019918131828307,0.39524747341871264,0.0564639262855053,0.0564639262855053,0.10434945397078992,0.11594383433461189,0.04637753214687109,0.14492979124188424,0.0695662984251976,0.02823196314275265,0.6976631355285644,0.003743244686629623,0.024607581598684192,0.03265644596889615,0.07645357105880976,0.015795673616230486,0.001544830717612058,0.008625740213319659,4.054936339774468e-05,0.0012919819925446064,0.0027267045457847416,1.5878145536589727e-05,0.0,0.0,1.3039603841136227e-09
3,0.8464,0.7910389596223831,0.509296875,0.514453125,1.0,1.0,0.19303385416666666,1.0,0.9985852837562561,0.6962195038795471,0.09837800823152065,0.5854788422584534,0.31614313274621964,1.3001750707626343,8.0,2.5,0.2517065703868866,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4611493945121765,0.9828580021858215,2.7268786430358887,1.0,0.998504638671875,1.0,0.6625819206237793,0.033646367490291595,1.0,0.9987599849700928,1.0,0.6758295297622681,0.01798262819647789,1.0,0.9984912276268005,1.0,0.750247061252594,0.07088127732276917,0.4390869140625,0.6443967521190643,0.14944081380963326,0.16356248408555984,0.04259995697066188,1.0000000069849193,0.7631917595863342,0.27118995785713196,0.007938874186947942,0.12954303994774818,0.38595709204673767,0.07181351631879807,0.04493783414363861,0.07420764118432999,0.045474108308553696,0.07358979433774948,0.04519938305020332,-0.04683768004179001,0.01910886913537979,0.9915998297929763,1.0,0.23936762064695358,0.18295600906014442,0.009941394180059434,2.9272961449623107,0.9988529926538467,0.4664073279500008,0.5760022389888764,1.0017205083370209,0.6919870793819427,0.514453125,1.0,0.0005054473876953125,7.903575897216797e-05,0.0007108449935913086,0.023197440430521965,last,1.0,0.0,0.0,0.6939846992492675,0.02270978396758437,0.010770101575180888,0.11723729580640793,0.4373519578576088,0.13578289419412612,0.006394669143483043,0.10871561892330646,0.0,0.019471147451549767,0.020698448438197375,4.4389532567947755e-05,0.0,0.0001400400698184967,1.0017205083370209,0.3264851254224777,0.0466407335922122,0.0466407335922122,0.10368040688335896,0.11520044930279255,0.04608017794787884,0.1440005597472191,0.06912026710808278,0.0233203667961061,0.6939846992492675,0.0022709784423932435,0.010788880344480277,0.02186759825795889,0.03840753555297852,0.014079260854050517,0.0007369654794456437,0.005010965920519084,0.0,0.000906970610958524,0.0029806327563710513,3.0712078279293565e-06,0.0,1.4004006879986265e-06,5.454439122587473e-10
4,0.778688,0.7693477129936218,0.507890625,0.51640625,1.0,1.0,0.18766276041666666,1.0,0.9991251428922018,0.7651111682256063,0.09067255444824696,0.6010682582855225,0.30825918912887573,1.1441264748573303,7.5,2.5,0.27642807364463806,1.875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.46252894401550293,0.9799696803092957,2.645944595336914,1.0,0.9992179870605469,1.0,0.7297876477241516,0.030306939035654068,1.0,0.9993220567703247,1.0,0.7560319304466248,0.013368361629545689,1.0,0.9988353848457336,1.0,0.8095139265060425,0.04755778610706329,0.458526611328125,0.6350862383842468,0.17305850610136986,0.16136740148067474,0.030487862415611744,1.0000000083819032,0.7236628830432892,0.25804921984672546,0.005927620222792029,0.13650693371891975,0.3898146077990532,0.08863916248083115,0.0567900612950325,0.09267278760671616,0.05760826915502548,0.09154721349477768,0.05680776387453079,-0.05009569227695465,0.024994589388370514,0.9958772593736649,1.0,0.2511328847706318,0.18070990711450577,0.006599206421524287,2.891358485221863,0.9989129066467285,0.5029565867781639,0.5731135380268096,1.0016306340694427,0.69146026968956,0.51640625,1.0,-7.045269012451172e-05,6.496906280517578e-05,4.875659942626953e-05,0.028392929583787918,last,1.0,0.0,0.0,0.6927182579040527,0.019021959491074086,0.005718454197049141,0.08950753189623356,0.32068719118833544,0.12550425373017787,0.003818274938967079,0.07918622136116028,0.0,0.024305416978895666,0.022300283368676902,1.0202770695286745e-05,0.0,0.0035241065919399263,1.0016306340694427,0.352069605588913,0.050295659378170966,0.050295659378170966,0.10316044077277184,0.1146227090805769,0.04584908206015825,0.1432783845067024,0.06877362310886383,0.025147829689085483,0.6927182579040527,0.0019021959765814244,0.005727925453102216,0.016034359876066447,0.031492009777575734,0.012947390042245387,0.00043766627059085297,0.0036306252493523063,0.0,0.0012260298512410373,0.0031953115575015546,7.017030245037858e-07,0.0,3.524106493159706e-05,1.7326440282516842e-09
